primary_label,secondary_labels,type,filename,collection,rating,url,latitude,longitude,scientific_name,common_name,author,license
1346504,[''],[''],1346504/CSA18803.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18803/IAvH-CSA-18803.mp3,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
134933,[''],['advertisement call'],134933/XC941298.ogg,XC,4,https://xeno-canto.org/941298,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog,Chris Harrison,cc-by-nc-sa 4.0
134933,[''],[''],134933/iNat1108984.ogg,iNat,0,https://static.inaturalist.org/sounds/1108984.wav,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog,Chris Harrison,cc-by-nc 4.0
134933,[''],[''],134933/iNat1160199.ogg,iNat,0,https://static.inaturalist.org/sounds/1160199.wav,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog,Chris Harrison,cc-by-nc 4.0
134933,[''],[''],134933/iNat859408.ogg,iNat,0,https://static.inaturalist.org/sounds/859408.m4a,10.3639,-84.7898,Espadarana prosoblepon,Emerald Glass Frog,Federico A. Chinchilla Romero,cc-by-nc 4.0
135045,[''],[''],135045/iNat1122209.ogg,iNat,0,https://static.inaturalist.org/sounds/1122209.mp3,6.8819,-75.5274,Andinobates opisthomelas,Andean Poison Frog,Ricardo Sánchez,cc-by-nc 4.0
135045,[''],[''],135045/iNat1207345.ogg,iNat,0,https://static.inaturalist.org/sounds/1207345.wav,6.0515,-75.3823,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1207347.ogg,iNat,0,https://static.inaturalist.org/sounds/1207347.wav,6.0515,-75.3823,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208549.ogg,iNat,0,https://static.inaturalist.org/sounds/1208549.wav,6.0461,-75.2901,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208550.ogg,iNat,0,https://static.inaturalist.org/sounds/1208550.wav,6.0424,-75.253,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208551.ogg,iNat,0,https://static.inaturalist.org/sounds/1208551.wav,6.1436,-75.3364,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208552.ogg,iNat,0,https://static.inaturalist.org/sounds/1208552.wav,6.0055,-75.3879,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208572.ogg,iNat,0,https://static.inaturalist.org/sounds/1208572.wav,6.0106,-75.3322,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat327127.ogg,iNat,0,https://static.inaturalist.org/sounds/327127.mp3,6.874,-75.3888,Andinobates opisthomelas,Andean Poison Frog,Marley T. Gómez-Rincón,cc-by-nc 4.0
135045,[''],[''],135045/iNat48803.ogg,iNat,0,https://static.inaturalist.org/sounds/48803.mp3,6.1779,-75.5752,Andinobates opisthomelas,Andean Poison Frog,Wilmar Agudelo Sánchez,cc-by-nc 4.0
1462711,[''],[''],1462711/CSA36371.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36371/IAvH-CSA-36371.mp3,7.2625,-73.8207,Cocconotus aratifrons,Cocconotus aratifrons,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462711,[''],[''],1462711/CSA36379.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36379/IAvH-CSA-36379.mp3,7.3842,-73.8456,Cocconotus aratifrons,Cocconotus aratifrons,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462711,[''],[''],1462711/CSA36390.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36390/IAvH-CSA-36390.mp3,7.3842,-73.8456,Cocconotus aratifrons,Cocconotus aratifrons,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36341.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36341/IAvH-CSA-36341.mp3,7.32,-73.7069,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36369.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36369/IAvH-CSA-36369.mp3,7.3509,-73.8287,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36380.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36380/IAvH-CSA-36380.mp3,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36381.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36381/IAvH-CSA-36381.mp3,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36386.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36386/IAvH-CSA-36386.mp3,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36391.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36391/IAvH-CSA-36391.mp3,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36395.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36395/IAvH-CSA-36395.mp3,7.3206,-73.7128,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34195.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34195/IAvH-CSA-34195.mp3,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34196.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34196/IAvH-CSA-34196.mp3,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34197.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34197/IAvH-CSA-34197.mp3,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34198.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34198/IAvH-CSA-34198.mp3,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34199.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34199/IAvH-CSA-34199.mp3,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34200.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34200/IAvH-CSA-34200.mp3,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
21038,[''],[''],21038/iNat297879.ogg,iNat,0,https://static.inaturalist.org/sounds/297879.mp3,6.3741,-74.6802,Colostethus inguinalis,Common Rocket Frog,Marley T. Gómez-Rincón,cc-by-nc 4.0
21038,[''],[''],21038/iNat65519.ogg,iNat,0,https://static.inaturalist.org/sounds/65519.mp3,9.892,-75.1912,Colostethus inguinalis,Common Rocket Frog,José Gabriel Julio Guzmán,cc-by-nc 4.0
21116,[''],[''],21116/iNat296867.ogg,iNat,0,https://static.inaturalist.org/sounds/296867.mp3,5.8604,-74.8877,Dendrobates truncatus,Yellow-striped Poison Dart Frog,Marley T. Gómez-Rincón,cc-by-nc 4.0
21116,[''],[''],21116/iNat65520.ogg,iNat,0,https://static.inaturalist.org/sounds/65520.mp3,9.8882,-75.1882,Dendrobates truncatus,Yellow-striped Poison Dart Frog,José Gabriel Julio Guzmán,cc-by-nc 4.0
21211,[''],[''],21211/XC882646.ogg,XC,4,https://xeno-canto.org/882646,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882647.ogg,XC,4,https://xeno-canto.org/882647,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882648.ogg,XC,4,https://xeno-canto.org/882648,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882649.ogg,XC,4,https://xeno-canto.org/882649,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882650.ogg,XC,4,https://xeno-canto.org/882650,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882651.ogg,XC,4,https://xeno-canto.org/882651,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882652.ogg,XC,4,https://xeno-canto.org/882652,-4.2443,-69.9264,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882653.ogg,XC,4,https://xeno-canto.org/882653,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882654.ogg,XC,4,https://xeno-canto.org/882654,0.8366,-51.8884,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882655.ogg,XC,4,https://xeno-canto.org/882655,0.8366,-51.8884,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882656.ogg,XC,4,https://xeno-canto.org/882656,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882657.ogg,XC,4,https://xeno-canto.org/882657,None,None,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882658.ogg,XC,4,https://xeno-canto.org/882658,-4.3811,-70.0448,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882659.ogg,XC,4,https://xeno-canto.org/882659,-10.2097,-67.7092,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC896828.ogg,XC,2,https://xeno-canto.org/896828,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896832.ogg,XC,3,https://xeno-canto.org/896832,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896838.ogg,XC,3,https://xeno-canto.org/896838,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896839.ogg,XC,4,https://xeno-canto.org/896839,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896840.ogg,XC,3,https://xeno-canto.org/896840,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896855.ogg,XC,3,https://xeno-canto.org/896855,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896857.ogg,XC,3,https://xeno-canto.org/896857,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896860.ogg,XC,3,https://xeno-canto.org/896860,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896861.ogg,XC,2,https://xeno-canto.org/896861,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896863.ogg,XC,3,https://xeno-canto.org/896863,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913785.ogg,XC,3,https://xeno-canto.org/913785,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913809.ogg,XC,3,https://xeno-canto.org/913809,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913811.ogg,XC,3,https://xeno-canto.org/913811,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913839.ogg,XC,3,https://xeno-canto.org/913839,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913840.ogg,XC,3,https://xeno-canto.org/913840,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913858.ogg,XC,3,https://xeno-canto.org/913858,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913859.ogg,XC,3,https://xeno-canto.org/913859,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913880.ogg,XC,4,https://xeno-canto.org/913880,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913881.ogg,XC,4,https://xeno-canto.org/913881,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913886.ogg,XC,4,https://xeno-canto.org/913886,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913887.ogg,XC,4,https://xeno-canto.org/913887,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913893.ogg,XC,3,https://xeno-canto.org/913893,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913894.ogg,XC,3,https://xeno-canto.org/913894,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913976.ogg,XC,3,https://xeno-canto.org/913976,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913977.ogg,XC,3,https://xeno-canto.org/913977,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913978.ogg,XC,3,https://xeno-canto.org/913978,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913992.ogg,XC,3,https://xeno-canto.org/913992,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913997.ogg,XC,3,https://xeno-canto.org/913997,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913998.ogg,XC,3,https://xeno-canto.org/913998,4.0946,-52.6862,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914005.ogg,XC,3,https://xeno-canto.org/914005,4.0946,-52.6862,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914013.ogg,XC,3,https://xeno-canto.org/914013,4.0964,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914025.ogg,XC,3,https://xeno-canto.org/914025,4.0964,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914028.ogg,XC,3,https://xeno-canto.org/914028,4.0964,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917437.ogg,XC,3,https://xeno-canto.org/917437,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917444.ogg,XC,3,https://xeno-canto.org/917444,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917465.ogg,XC,2,https://xeno-canto.org/917465,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917470.ogg,XC,3,https://xeno-canto.org/917470,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917471.ogg,XC,3,https://xeno-canto.org/917471,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920803.ogg,XC,2,https://xeno-canto.org/920803,4.0945,-52.6862,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920868.ogg,XC,3,https://xeno-canto.org/920868,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920870.ogg,XC,3,https://xeno-canto.org/920870,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920872.ogg,XC,3,https://xeno-canto.org/920872,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920873.ogg,XC,3,https://xeno-canto.org/920873,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920881.ogg,XC,3,https://xeno-canto.org/920881,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920888.ogg,XC,3,https://xeno-canto.org/920888,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920892.ogg,XC,3,https://xeno-canto.org/920892,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925906.ogg,XC,3,https://xeno-canto.org/925906,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925907.ogg,XC,3,https://xeno-canto.org/925907,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925908.ogg,XC,3,https://xeno-canto.org/925908,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925925.ogg,XC,3,https://xeno-canto.org/925925,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC928709.ogg,XC,3,https://xeno-canto.org/928709,3.6023,-53.26,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC928710.ogg,XC,3,https://xeno-canto.org/928710,3.6023,-53.26,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC928714.ogg,XC,3,https://xeno-canto.org/928714,3.6023,-53.26,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC934741.ogg,XC,5,https://xeno-canto.org/934741,5.2313,-52.8547,Allobates femoralis,Spotted-thighed Poison Frog,Yannick Wiegers,cc-by-nc-sa 4.0
21211,[''],[''],21211/iNat1005762.ogg,iNat,0,https://static.inaturalist.org/sounds/1005762.wav,4.87,-52.3162,Allobates femoralis,Spotted-thighed Poison Frog,Julien Piolain,cc-by-nc 4.0
21211,[''],[''],21211/iNat359445.ogg,iNat,0,https://static.inaturalist.org/sounds/359445.mp3,-4.1323,-69.9548,Allobates femoralis,Spotted-thighed Poison Frog,Unknown,cc-by-nc 4.0
